hotel,fecha,puntuacion,nombre,titulo,positivo,negativo
Vitoria,Escrito en 24 de julio de 2025,Sin puntuación,Teresa,“Correcto calidad-precio”,"La ubicación y la comodidad de tener parking a 14€/día. Estaba todo muy bien equipado, con un kit de bienvenida y un kit de limpieza, el apartamento tiene todo lo necesario para estar en Vitoria unos días. Para los precios que hay de alojamientos en el País Vasco en general, este está muy bien.",El check in y todo el acceso al hotel es digital. Tener que estar poniendo el código para abrir cada puerta es un poco jaleo pero bueno. El sofá cama deberían renovarlo...
Vitoria,Escrito en 24 de julio de 2025,Sin puntuación,Monica,Bien,Ubicación y lavabo y cama habitación muy cómoda,"Sofá cama incómodo, aire solo iba en la habitación y faltaba la plancha para la ropa"
Vitoria,Escrito en 31 de mayo de 2025,Sin puntuación,Graciela,“Checking”,La comodidad y la ambientación,Un poco complicado el checking
Vitoria,Escrito en 31 de mayo de 2025,Sin puntuación,María,Excepcional,"Acogedor, bien organizado, amplitud, luz externa, impecable, muy completo en servicios( lavadora, horno, cafetera...), el suelo precioso 💖",
Vitoria,Escrito en 28 de mayo de 2025,Sin puntuación,Pilar,Muy bien,Todo muy nuevo. A 10 minutos del casco antiguo,
Vitoria,Escrito en 28 de mayo de 2025,Sin puntuación,Maria,Excepcional,Todo,Nada
Vitoria,Escrito en 27 de mayo de 2025,Sin puntuación,Nayibe,“Buenas habitaciones pero muy poca cercanía y calidez”,Las habitaciones están muy bien y son muy cómodas y modernas.,"En nuestro caso, reservamos el alojamiento por Booking: 3 habitaciones para 12 personas. En el “checking online”, yo, que era la titular, tuve que mandar hasta un “selfie”. Es todo “online” (“checking”, llaves…) con sus ventajas y desventajas de perder la calidez humana.  Además, nos pidieron una fianza de 200€ que no ponía en ningún lado al reservar y pagar las habitaciones completas al momento (hace dos días que nos fuimos y aún no tengo la fianza). Son muy insistentes con la hora de salida del alojamiento: no puedes entrar hasta las 15:00 pero para las 10:00 de la mañana ya teníamos un correo para dejar el alojamiento. Me parece un detalle bastante fuera de lugar."
Vitoria,Escrito en 27 de mayo de 2025,Sin puntuación,Bettcy,“Perfecto”,Estaba muy limpio,
Vitoria,Escrito en 26 de mayo de 2025,Sin puntuación,Aurora,Excepcional,Perfecta ubicación. Perfectas las instalaciones,Nada
Vitoria,Escrito en 26 de mayo de 2025,Sin puntuación,Jose,Muy bien,Era bastante funcional y estaba muy limpio.  Andando se iba al centro en 10 minutos y tenías de todo alrededor.,"La insonorizacion de la ventana del dormitorio no era demasiado buena.  Hubo un problema con una alarma que se encendió en el pasillo en el que estábamos y nadie vino a informar que pasaba.  Al día siguiente en recepción tampoco sabían que había ocurrido.  Ni se habían enterado del suceso,  lo cual me da que pensar en el sistema de seguridad si ocurre algo de verdad."
Vitoria,Escrito en 25 de mayo de 2025,Sin puntuación,Rebeca,Fantástico,"La atención del personal excelente, muy amables. 
La ubicación. Apartamento moderno y bonito.","Por decir algo el sofá cama se movía un poco, pero era muy comodo."
Vitoria,Escrito en 25 de mayo de 2025,Sin puntuación,Oihane,Bien,,No los iba la clave de abajo
